cd_nuts3,cd_nuts2,cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version,cd_nuts_lau,cd_nuts1,cd_nuts0,cd_nuts3_2027,cd_nuts2_2027,cd_nuts1_2027,cd_nuts0_2027,cd_arr_internal
BE212,BE21,12007,Bornem,Bornem,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12007,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12009,Duffel,Duffel,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12009,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12014,Heist-op-den-Berg,Heist-op-den-Berg,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12014,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12021,Lierre,Lier,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12021,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12025,Malines,Mechelen,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12025,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12026,Nijlen,Nijlen,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12026,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12029,Putte,Putte,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12029,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12030,Puurs,Puurs,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12030,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12034,Sint-Amands,Sint-Amands,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12034,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12035,Sint-Katelijne-Waver,Sint-Katelijne-Waver,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12035,BE2,BE,BE262,BE26,BE2,BE,12
BE212,BE21,12040,Willebroek,Willebroek,12000,Arrondissement de Malines,Arrondissement Mechelen,12,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,12040,BE2,BE,BE262,BE26,BE2,BE,12
BE213,BE21,13001,Arendonk,Arendonk,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13001,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13002,Baerle-Duc,Baarle-Hertog,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13002,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13003,Balen,Balen,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13003,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13004,Beerse,Beerse,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13004,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13006,Dessel,Dessel,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13006,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13008,Geel,Geel,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13008,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13010,Grobbendonk,Grobbendonk,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13010,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13011,Herentals,Herentals,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13011,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13012,Herenthout,Herenthout,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13012,BE2,BE,BE263,BE26,BE2,BE,13
BE213,BE21,13013,Herselt,Herselt,13000,Arrondissement de Turnhout,Arrondissement Turnhout,13,10000,Province d'Anvers,Provincie Antwerpen,4000,RÉGION DE BRUXELLES-CAPITALE,BRUSSELS HOOFDSTEDELIJK GEWEST,BEFORE_2019,13013,BE2,BE,BE263,BE26,BE2,BE,13
