cd_postal,cd_commune_nis,tx_postal_name_fr,tx_postal_name_nl
4160,61079,Anthisnes,Anthisnes
4161,61079,Anthisnes,Anthisnes
4162,61079,Anthisnes,Anthisnes
4163,61079,Anthisnes,Anthisnes
4170,62026,Comblain-au-Pont,Comblain-au-Pont
4171,62026,Comblain-au-Pont,Comblain-au-Pont
4180,61024,Hamoir,Hamoir
4181,61024,Hamoir,Hamoir
4190,61019,Ferrières,Ferrières
4210,61010,Burdinne,Burdinne
4217,61028,Héron,Héron
4218,61028,Héron,Héron
4219,64075,Wasseiges,Wasseiges
4250,64029,Geer,Geer
4252,64029,Geer,Geer
4253,64029,Geer,Geer
4254,64029,Geer,Geer
4257,64008,Berloz,Berloz
4260,64015,Braives,Braives
4261,64015,Braives,Braives
4263,64015,Braives,Braives
4280,64034,Hannut,Hannuit
4287,64047,Lincent,Lijsem
4300,64074,Waremme,Borgworm
4317,64076,Faimes,Faimes
4340,62006,Awans,Awans
4342,62006,Awans,Awans
4347,64025,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher
4350,64063,Remicourt,Remicourt
4351,64063,Remicourt,Remicourt
4357,64023,Donceel,Donceel
4360,64056,Oreye,Oerle
4367,64021,Crisnée,Crisnée
4400,62120,Flémalle,Flémalle
4420,62093,Saint-Nicolas,Saint-Nicolas
4430,62003,Ans,Ans
4431,62003,Ans,Ans
4432,62003,Ans,Ans
4450,62060,Juprelle,Juprelle
4451,62060,Juprelle,Juprelle
4452,62060,Juprelle,Juprelle
4453,62060,Juprelle,Juprelle
4458,62060,Juprelle,Juprelle
4460,62118,Grâce-Hollogne,Grâce-Hollogne
4470,64065,Saint-Georges-sur-Meuse,Saint-Georges-sur-Meuse
4480,61080,Engis,Engis
4500,61031,Huy,Hoei
4520,61072,Wanze,Wanze
4530,61068,Villers-Le-Bouillet,Villers-Le-Bouillet
4537,61063,Verlaine,Verlaine
4540,61003,Amay,Amay
4550,61043,Nandrin,Nandrin
4557,61081,Tinlot,Tinlot
4560,61012,Clavier,Clavier
4570,61039,Marchin,Marchin
4577,61041,Modave,Modave
4590,61048,Ouffet,Ouffet
4600,62108,Visé,Wezet
4601,62108,Visé,Wezet
4602,62108,Visé,Wezet
4606,62027,Dalhem,Dalhem
4607,62027,Dalhem,Dalhem
4608,62027,Dalhem,Dalhem
4610,62015,Beyne-Heusay,Beyne-Heusay
4620,62038,Fléron,Fléron
4621,62038,Fléron,Fléron
4623,62038,Fléron,Fléron
4624,62038,Fléron,Fléron
4630,62099,Soumagne,Soumagne
4631,62099,Soumagne,Soumagne
4632,62099,Soumagne,Soumagne
4633,62099,Soumagne,Soumagne
4650,63035,Herve,Herve
4651,63035,Herve,Herve
4652,63035,Herve,Herve
4653,63035,Herve,Herve
4654,63035,Herve,Herve
4670,62119,Blegny,Blegny
4671,62119,Blegny,Blegny
4672,62119,Blegny,Blegny
4680,62079,Oupeye,Oupeye
4681,62079,Oupeye,Oupeye
4682,62079,Oupeye,Oupeye
4683,62079,Oupeye,Oupeye
4684,62079,Oupeye,Oupeye
4690,62011,Bassenge,Bitsingen
4700,63023,Eupen,Eupen
4701,63023,Eupen,Eupen
4710,63048,Lontzen,Lontzen
