cd_commune,tx_commune_fr,tx_commune_nl,cd_arr,tx_arr_fr,tx_arr_nl,cd_arr_2digit,cd_province,tx_prov_fr,tx_prov_nl,cd_region,tx_region_fr,tx_region_nl,nis_version
24009,Bertem,Bertem,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24011,Bierbeek,Bierbeek,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24014,Boortmeerbeek,Boortmeerbeek,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24016,Boutersem,Boutersem,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24020,Diest,Diest,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24028,Geetbets,Geetbets,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24137,Glabbeek,Glabbeek,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24033,Haacht,Haacht,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24038,Herent,Herent,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24041,Hoegaarden,Hoegaarden,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24043,Holsbeek,Holsbeek,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24045,Huldenberg,Huldenberg,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24048,Keerbergen,Keerbergen,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24054,Kortenaken,Kortenaken,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24055,Kortenberg,Kortenberg,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24059,Landen,Landen,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24130,Léau,Zoutleeuw,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24133,Linter,Linter,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24062,Louvain,Leuven,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24066,Lubbeek,Lubbeek,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24134,Montaigu-Zichem,Scherpenheuvel-Zichem,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24086,Oud-Heverlee,Oud-Heverlee,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24094,Rotselaar,Rotselaar,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24104,Tervuren,Tervuren,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24135,Tielt-Winge,Tielt-Winge,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24107,Tirlemont,Tienen,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
24109,Tremelo,Tremelo,24000,Arrondissement de Louvain,Arrondissement Leuven,24,20000,,,,,,2025
25005,Beauvechain,Bevekom,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25014,Braine-l'Alleud,Eigenbrakel,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25015,Braine-le-Château,Kasteelbrakel,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25117,Chastre,Chastre,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25018,Chaumont-Gistoux,Chaumont-Gistoux,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25023,Court-Saint-Etienne,Court-Saint-Etienne,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25031,Genappe,Genepien,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25037,Grez-Doiceau,Graven,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25118,Hélécine,Hélécine,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25043,Incourt,Incourt,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25044,Ittre,Itter,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25048,Jodoigne,Geldenaken,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25050,La Hulpe,Terhulpen,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25119,Lasne,Lasne,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25068,Mont-Saint-Guibert,Mont-Saint-Guibert,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25072,Nivelles,Nijvel,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25120,Orp-Jauche,Orp-Jauche,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25084,Perwez,Perwijs,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25122,Ramillies,Ramillies,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25123,Rebecq,Rebecq,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25091,Rixensart,Rixensart,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25105,Tubize,Tubeke,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25107,Villers-la-Ville,Villers-la-Ville,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25124,Walhain,Walhain,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25110,Waterloo,Waterloo,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
25112,Wavre,Waver,25000,Arrondissement de Nivelles,Arrondissement Nijvel,25,20000,,,,,,2025
31003,Beernem,Beernem,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31004,Blankenberge,Blankenberge,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31005,Bruges,Brugge,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31006,Damme,Damme,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31012,Jabbeke,Jabbeke,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31043,Knokke-Heist,Knokke-Heist,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31022,Oostkamp,Oostkamp,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31033,Torhout,Torhout,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31040,Zedelgem,Zedelgem,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
31042,Zuienkerke,Zuienkerke,31000,Arrondissement de Bruges,Arrondissement Brugge,31,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
32003,Dixmude,Diksmuide,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,32,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
32006,Houthulst,Houthulst,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,32,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
32010,Koekelare,Koekelare,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,32,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
32011,Kortemark,Kortemark,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,32,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
32030,Lo-Reninge,Lo-Reninge,32000,Arrondissement de Dixmude,Arrondissement Diksmuide,32,30000,Province de Flandre Occidentale,Provincie West-Vlaanderen,2000,RÉGION FLAMANDE,VLAAMS GEWEST,2025
